"","price_per_sqmt","facing_direction","floor_level","decoration"
"591",49074,"South","top","refined"
"592",79334,"East/West","high","refined"
"593",97268,"South","middle","other"
"594",83204,"South","first","other"
"595",78871,"South","top","refined"
"596",79443,"South","middle","other"
"597",76301,"East/West","top","refined"
"598",83131,"South","top","simple"
"599",87313,"South","middle","other"
"600",87199,"South","first","simple"
"601",89921,"South","middle","refined"
"602",86176,"East/West","first","refined"
"603",81648,"East/West","middle","simple"
"604",82927,"South","top","simple"
"605",84234,"South","top","simple"
"606",84787,"South","first","simple"
"607",84932,"East/West","middle","simple"
"608",84388,"South","middle","other"
"609",81550,"South","middle","refined"
"610",79045,"South","first","bare"
"611",82104,"South","middle","simple"
"612",85083,"South","middle","simple"
"613",85238,"South","middle","refined"
"614",91464,"South","middle","refined"
"615",104478,"South","middle","simple"
"616",102213,"East/West","low","other"
"617",98127,"South","middle","refined"
"618",96238,"South","top","simple"
"619",99448,"South","middle","refined"
"620",105043,"South","first","simple"
"621",77153,"South","first","refined"
"622",92393,"East/West","middle","refined"
"623",75950,"East/West","low","simple"
"624",72290,"East/West","low","other"
"625",66266,"East/West","top","refined"
"626",66330,"East/West","middle","refined"
"627",67020,"South","middle","refined"
"628",67255,"South","middle","simple"
"629",73055,"South","middle","refined"
"630",71429,"South","middle","refined"
"631",66283,"South","first","refined"
"632",67270,"East/West","top","refined"
"633",54007,"South","top","refined"
"634",59403,"East/West","middle","refined"
"635",63536,"South","middle","other"
"636",57392,"South","top","refined"
"637",59455,"South","first","simple"
"638",47334,"East/West","top","simple"
"639",57381,"South","middle","refined"
"640",51917,"South","top","other"
"641",52487,"South","middle","simple"
"642",48812,"South","top","simple"
"643",51917,"South","top","other"
"644",50072,"South","top","simple"
"645",48024,"South","top","other"
"646",43173,"East/West","middle","simple"
"647",45297,"South","middle","other"
"648",43937,"South","top","refined"
"649",46875,"South","first","simple"
"650",37782,"South","top","refined"
"651",47883,"South","middle","other"
"652",44665,"South","middle","simple"
"653",48320,"South","first","refined"
"654",57318,"South","top","other"
"655",55750,"South","middle","other"
"656",55534,"South","middle","other"
"657",53572,"South","first","other"
"658",70934,"South","first","simple"
"659",80587,"South","middle","refined"
"660",70443,"East/West","top","simple"
"661",65418,"East/West","first","refined"
"662",72390,"South","top","refined"
"663",61391,"East/West","low","other"
"664",65105,"East/West","middle","refined"
"665",67932,"South","middle","refined"
"666",67181,"South","middle","simple"
"667",73137,"South","middle","simple"
"668",64574,"South","high","simple"
"669",64040,"East/West","high","refined"
"670",61590,"East/West","first","simple"
"671",71444,"East/West","first","simple"
"672",72042,"South","high","simple"
"673",71947,"South","middle","other"
"674",68835,"South","low","refined"
"675",63623,"South","first","simple"
"676",70403,"South","low","refined"
"677",74643,"South","low","other"
"678",72213,"South","top","simple"
"679",61590,"East/West","middle","refined"
"680",69323,"South","top","simple"
"681",71187,"South","high","simple"
"682",60090,"South","middle","refined"
"683",70019,"South","top","refined"
"684",64227,"South","middle","simple"
"685",57949,"South","low","simple"
"686",72518,"South","first","simple"
"687",76717,"South","top","simple"
"688",69575,"South","middle","simple"
"689",62096,"South","high","refined"
"690",74173,"East/West","middle","simple"
"691",70534,"East/West","high","refined"
"692",78762,"South","middle","other"
"693",58086,"South","middle","simple"
"694",70848,"South","middle","simple"
"695",72927,"South","middle","simple"
"696",65806,"East/West","low","simple"
"697",75061,"South","middle","refined"
"698",52580,"South","middle","simple"
"699",58182,"East/West","top","refined"
"700",60715,"East/West","first","other"
"701",58270,"South","middle","simple"
"702",55255,"South","top","refined"
"703",50345,"South","top","refined"
"704",59611,"South","first","refined"
"705",54688,"East/West","middle","refined"
"706",58054,"South","middle","simple"
"707",47020,"East/West","low","refined"
"708",52309,"South","high","simple"
"709",52972,"South","middle","refined"
"710",46755,"East/West","low","refined"
"711",50506,"South","top","refined"
"712",42808,"East/West","high","simple"
"713",45664,"South","top","simple"
"714",48990,"South","first","bare"
"715",47788,"South","top","simple"
"716",46897,"South","middle","refined"
"717",46875,"South","high","refined"
"718",39537,"East/West","middle","refined"
"719",47883,"South","first","simple"
"720",46845,"South","middle","refined"
"721",36961,"North","middle","refined"
"722",33920,"East/West","middle","other"
"723",42714,"South","middle","refined"
"724",44248,"South","middle","simple"
"725",42926,"South","low","refined"
"726",44177,"South","high","refined"
"727",46474,"South","first","refined"
"728",30346,"East/West","middle","simple"
"729",33848,"East/West","high","simple"
"730",44903,"South","middle","simple"
"731",42535,"South","middle","simple"
"732",43363,"South","middle","simple"
"733",38190,"South","middle","refined"
"734",39527,"South","first","other"
