price_per_sqmt,facing_direction,floor_level,decoration
57949.0,South,low,simple
72518.0,South,first,simple
76717.0,South,top,simple
69575.0,South,middle,simple
62096.0,South,high,refined
74173.0,East/West,middle,simple
70534.0,East/West,high,refined
78762.0,South,middle,other
58086.0,South,middle,simple
70848.0,South,middle,simple
72927.0,South,middle,simple
65806.0,East/West,low,simple
75061.0,South,middle,refined
52580.0,South,middle,simple
58182.0,East/West,top,refined
60715.0,East/West,first,other
58270.0,South,middle,simple
55255.0,South,top,refined
50345.0,South,top,refined
59611.0,South,first,refined
54688.0,East/West,middle,refined
58054.0,South,middle,simple
47020.0,East/West,low,refined
52309.0,South,high,simple
52972.0,South,middle,refined
46755.0,East/West,low,refined
50506.0,South,top,refined
42808.0,East/West,high,simple
45664.0,South,top,simple
48990.0,South,first,bare
47788.0,South,top,simple
46897.0,South,middle,refined
46875.0,South,high,refined
39537.0,East/West,middle,refined
47883.0,South,first,simple
46845.0,South,middle,refined
36961.0,North,middle,refined
33920.0,East/West,middle,other
42714.0,South,middle,refined
44248.0,South,middle,simple
42926.0,South,low,refined
44177.0,South,high,refined
46474.0,South,first,refined
30346.0,East/West,middle,simple
33848.0,East/West,high,simple
44903.0,South,middle,simple
42535.0,South,middle,simple
43363.0,South,middle,simple
38190.0,South,middle,refined
39527.0,South,first,other
42169.0,South,middle,simple
36344.0,South,top,simple
37638.0,South,middle,refined
42522.0,South,middle,simple
37444.0,South,high,simple
32053.0,East/West,high,simple
34305.0,East/West,low,refined
41740.0,South,high,refined
34359.0,South,low,simple
31825.0,South,first,refined
40309.0,South,middle,refined
33184.0,South,middle,refined
36638.0,East/West,high,refined
35930.0,South,top,refined
39773.0,South,high,simple
32716.0,East/West,high,refined
30775.0,South,high,other
31162.0,South,middle,refined
37322.0,South,first,simple
46154.0,South,middle,other
45358.0,South,low,other
43722.0,South,top,other
50609.0,South,first,other
42658.0,South,low,other
43363.0,East/West,middle,other
41248.0,South,high,other
42832.0,East/West,middle,other
42830.0,South,middle,other
34586.0,South,top,other
37132.0,South,middle,other
42115.0,South,middle,other
38005.0,South,high,other
31696.0,East/West,top,other
45455.0,South,middle,other
33806.0,South,top,other
39126.0,South,middle,other
34691.0,South,middle,other
35263.0,South,first,other
30330.0,South,high,other
21260.0,South,middle,other
21585.0,East/West,middle,other
28811.0,South,high,other
30304.0,South,middle,other
28143.0,East/West,first,other
